Date & Time,Username,Role,Action,Details
2026-08-29 17:01:30,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-29 17:01:40,admin,ADMIN,VIEW ACTIVITY LOG,Opened Activity Log
2026-08-29 17:01:54,admin,ADMIN,EXIT,Application closed
2026-08-29 21:48:07,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-29 21:48:41,admin,ADMIN,VIEW INFO,Viewed employee: Arjun Sharma
2026-08-29 21:48:49,admin,ADMIN,EXIT,Application closed
2026-08-29 21:49:31,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-29 21:49:42,admin,ADMIN,EXIT,Application closed
2026-08-29 21:53:24,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-29 21:53:30,admin,ADMIN,EXIT,Application closed
2026-08-29 21:57:44,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-29 21:57:59,admin,ADMIN,EXIT,Application closed
2026-08-29 22:03:58,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-29 22:04:04,admin,ADMIN,EXIT,Application closed
2026-08-29 22:11:21,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-29 22:12:03,admin,ADMIN,LOGOUT,User logged out
2026-08-30 10:02:38,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-30 10:02:46,admin,ADMIN,VIEW ANALYTICS,Opened Reports & Analytics
2026-08-30 10:02:57,admin,ADMIN,EXIT,Application closed
2026-08-30 10:04:19,admin,ADMIN,LOGIN,User opened Employee Management System
2026-08-30 10:04:23,admin,ADMIN,EXIT,Application closed
